"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Lakes","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Midcentral","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Nelson Marlborough","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Northland","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Otago","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"South Canterbury","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Southland","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Tairawhiti","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Taranaki","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waikato","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Wairarapa","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waitemata","Pacific","eligible","176","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"West Coast","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Whanganui","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
